Set,CardId,Name,Rarity,Type,Tag,Verse,Value,AbilityText,VerseText,AbilityType
Bas,001,Adam,Common,Faithful,,Genesis 2:7,12,,Then the LORD God formed man from the dust of the ground and breathed the breath of life into his nostrils~ and the man became a living being.,
Bas,002,Eve,Common,Faithful,,Genesis 2:22,13,,And from the rib that the LORD God had taken from the man~ He made a woman and brought her to him.,
Bas,003,Eve,Uncommon,Faithful,,Genesis 2:22,7,-2 Dove if the Serpent is in play,Yahweh God made a woman from the rib which he had taken from the man~ and brought her to the man.,
Bas,004,Adam,Uncommon,Faithful,,Genesis 2:8,8,-2 Dove if the Serpent is in play,And the LORD God planted a garden in Eden~ in the east~ where He placed the man He had formed.,
Bas,005,Noah,Common,Faithful,,Genesis 5:9b,12,3 Dove if the Ark is active,Noah was a righteous man~ blameless in his generation; Noah walked with God.,
Bas,006,Jabal,Uncommon,Faithful,,Genesis 4:20,5,,Adah gave birth to Jabal; he was the father of those who dwell in tents and raise livestock.,
Bas,007,Abram,Common,Faithful,,Genesis 12:10,7,-2 Dove if Pharaoh is in play,Now there was a famine in the land. So Abram went down to Egypt to live there for a while because the famine was severe.,
Bas,008,Sarah,Common,Faithful,,Genesis 18:11,5,-2 Dove if Hagar is in play,And Abraham and Sarah were already old and well along in years; Sarah had passed the age of childbearing.,
Bas,009,Abraham,Rare,Faithful,,Genesis 17:3-5,10,,Then Abram fell facedown~ and God said to him As for Me~ this is My covenant with you: You will be the father of many nations. No longer will you be called Abram~ but your name will be Abraham~ for I have made you a father of many nations.,
Bas,010,Isaac,Common,Faithful,,Genesis 21:1-3,4,,Now the LORD attended to Sarah as He had said~ and the LORD did for Sarah what He had promised. So Sarah conceived and bore a son to Abraham in his old age~ at the very time God had promised. And Abraham gave the name Isaac to the son Sarah bore to him.,
Bas,011,Hagar,Uncommon,Faithful,,Genesis 16:3,4,,So after he had lived in Canaan for ten years~ his wife Sarai took her Egyptian maidservant Hagar and gave her to Abram to be his wife.,
Bas,012,Ishmael,Common,Faithful,,Genesis 21:20-21,6,,And God was with the boy~ and he grew up and settled in the wilderness and became a great archer. And while he was dwelling in the Wilderness of Paran~ his mother got a wife for him from the land of Egypt.,
Bas,013,Jacob,Common,Faithful,,Genesis 31:3,9,-3 Dove if Esau is in play,Then the LORD said to Jacob~ Go back to the land of your fathers and to your kindred~ and I will be with you.,
Bas,014,Esau,Common,Faithful,,"Genesis 25:25, 27a",5,-1 Dove if Jacob is in play,The first one came out red~ covered with hair like a fur coat; so they named him Esau….When the boys grew up~ Esau became a skillful hunter~ a man of the field.,
Bas,015,Joseph,Uncommon,Faithful,,Genesis 37:3-4,8,2 Dove if Egypt is active,Now Israel loved Joseph more than his other sons~ because Joseph had been born to him in his old age; so he made him a robe of many colors. When Joseph’s brothers saw that their father loved him more than any of them~ they hated him and could not speak a kind word to him.,
Bas,016,Lot,Common,Faithful,,Genesis 13:5-6,3,,Now Lot~ who was traveling with Abram~ also had flocks and herds and tents. But the land was unable to support both of them while they stayed together~ for they had so many possessions that they were unable to coexist.,
Bas,017,Moses,Uncommon,Faithful,,Exodus 3:1-2,10,,Meanwhile~ Moses was shepherding the flock of his father-in-law Jethro~ the priest of Midian. He led the flock to the far side of the wilderness and came to Horeb~ the mountain of God. There the angel of the LORD appeared to him in a blazing fire from within a bush. Moses saw the bush ablaze with fire~ but it was not consumed.,
Bas,018,Moses,Rare,Faithful,,Exodus 2:10,10,-2 Dove if Pharaoh is in play,When the child had grown older~ she brought him to Pharaoh’s daughter~ and he became her son. She named him Moses and explained “I drew him out of the water.”,
Bas,019,Rachel,Common,Faithful,,Genesis 29:9-10,6,-3 Dove if Leah is in play,While he was still speaking with them~ Rachel arrived with her father’s sheep~ for she was a shepherdess. As soon as Jacob saw Rachel~ the daughter of his mother’s brother Laban~ with Laban’s sheep~ he went up and rolled the stone away from the mouth of the well and watered his uncle’s sheep.,
Bas,020,Leah,Common,Faithful,,Genesis 29:31-32,3,,Yahweh saw that Leah was hated~ and he opened her womb~ but Rachel was barren. Leah conceived~ and bore a son~ and she named him Reuben. For she said “Because Yahweh has looked at my affliction; for now my husband will love me.”,
Bas,021,David (Shepherd),Common,Faithful,,1 Samuel 16:11,9,,And Samuel asked him “Are these all the sons you have?” “There is still the youngest~” Jesse replied~ “but he is tending the sheep.” “Send for him~” Samuel replied~ “For we will not sit down to eat until he arrives.”,
Bas,022,David (King),Rare,Faithful,,2 Samuel 2:3-4a,16,,David brought up his men who were with him~ every man with his household. They lived in the cities of Hebron. The men of Judah came~ and there they anointed David king over the house of Judah…,
Bas,023,Abigail,Uncommon,Faithful,,1 Samuel 25:42,6,,Abigail hurried~ and arose~ and rode on a donkey~ with five ladies of hers who followed her; and she went after the messengers of David~ and became his wife.,
Bas,024,Zilpah,Rare,Faithful,,Genesis 29:24,3,,Laban gave Zilpah his servant to his daughter Leah for a servant.,
Bas,025,Josiah,Uncommon,Faithful,,2 Kings 22:1,10,,Josiah was eight years old when he began to reign~ and he reigned thirty-one years in Jerusalem. His mother’s name was Jedidah the daughter of Adaiah of Bozkath.,
Bas,026,Abel,Common,Faithful,,Genesis 4:2,5,,Later she gave birth to Cain’s brother Abel. Now Abel was a keeper of sheep~ while Cain was a tiller of the soil.,
Bas,027,Solomon,Rare,Faithful,,2 Chronicles 1:8-12,15,,Solomon said to God~ “You have shown great loving kindness to David my father~ and have made me king in his place. Now~ Yahweh God~ let your promise to David my father be established; for you have made me king over a people like the dust of the earth in multitude. Now give me wisdom and knowledge~ that I may go out and come in before this people; for who can judge this great people of yours?”,
Bas,028,Elijah,Uncommon,Faithful,,1 Kings 18:21,12,–3 Dove if Jezebel is in play,Then Elijah approached all the people and said~ “How long will you waver between two opinions? If the LORD is God~ follow Him. But if Baal is God~ follow him.” But the people did not answer a word.,
Bas,029,Elijah,Common,Faithful,,1 Kings 17:2-3,6,,Then a revelation from the LORD came to Elijah~ “Leave here~ turn eastward~ and hide yourself by the Brook of Cherith~ east of the Jordan. And you are to drink from the brook~ and I have commanded the ravens to feed you there.”,
Bas,030,Esther,Rare,Faithful,,Esther 2:17,12,3 Dove if Mordecai is in play,And the king loved Esther more than all the other women~ and she found grace and favor in his sight more than all of the other virgins~ So he placed the royal crown upon her head and made her queen in place of Vashti.,
Bas,031,Naomi,Uncommon,Faithful,,Ruth 1:6,7,,When Naomi heard in Moab that the LORD had attended to His people by providing them with food~ she and her daughters-in-law prepared to leave the land of Moab.,
Bas,032,Zipporah,Common,Faithful,,Exodus 2:21,4,,Moses agreed to stay with the man~ and he gave his daughter Zipporah to Moses in marriage.,
Bas,033,Mary,Rare,Faithful,,Luke 2:17-19,8,,When they saw it~ they publicized widely the saying which was spoken to them about this child~ All who heard it wondered at the things which were,
Bas,034,Tarshish,Common,Faithful,,Genesis 10:4-5,2,,And the sons of Javan: Elishah~ Tarshish~ the Kittites~ and the Rodanites. From these~ the maritime peoples separated into their territories~ according to their languages~ by clans within their nations.,
Bas,035,Enoch,Rare,Faithful,,Genesis 5:24,11,,So Enoch lived a total of 365 years. Enoch walked with God~ and then he was no more~ because God had taken him away.,
Bas,036,Deborah,Rare,Faithful,,Judges 4:4,10,,Now Deborah~ a prophetess~ the wife of Lappidoth~ judged Israel at that time. She lived under Deborah’s palm tree between Ramah and Bethel in the hill country of Ephraim; and the children of Israel came up to her for judgment.,
Bas,037,Jael,Common,Faithful,,Judges 4:21,4,1 Dove if Deborah is in play,But as he lay sleeping from exhaustion~ Heber’s wife Jael took a tent peg~ grabbed a hammer~ and went silently to Sisera. She drove the peg through his temple and into the ground~ and he died.,
Bas,038,Gideon,Common,Faithful,,Judges 7:15-16,9,,When Gideon heard the dream and its interpretation~ he bowed in worship. He returned to the camp of Israel and said~ Get up~ for the LORD has delivered the camp of Midian into your hand. And he divided the three hundred men into three companies and gave each man a ram’s horn in one hand and a large jar in the other~ containing a torch.,
Bas,039,Balaam’s Donkey,Uncommon,Faithful,,Numbers 22:28,5,,Then the LORD opened the donkey’s mouth~ and she said to Balaam~ What have I done to you that you have beaten me these three times?,
Bas,040,Benaiah,Uncommon,Faithful,,2 Samuel 23:20,10,2 Dove if a Wild Lion is in play,And Benaiah son of Jehoiada was a man of valor from Kabzeel~ a man of many exploits. He struck down two champions of Moab~ and on a snowy day he went down into a pit and killed a lion.,
Bas,041,Peter,Common,Faithful,,Matthew 4:18-19,10,–2 Dove if Gethsemane is in play,As Jesus was walking beside the Sea of Galilee~ He saw two brothers~ Simon called Peter and his brother Andrew. They were casting a net into the sea~ for they were fishermen. “Come~ follow Me” Jesus said~ “and I will make you fishers of men.”,
Bas,042,Jonah,Common,Faithful,,Jonah 1:12,9,,He said to them~ “Take me up~ and throw me into the sea. Then the sea will be calm for you; for I know that because of me this great storm is on you.”,
Bas,043,Huldah,Rare,Faithful,,2 Chronicles 34:22,8,,So Hilkiah and those the king had designated went and spoke to Huldah the prophetess~ the wife of Shallum son of Tokhath~ the son of Hasrah~ the keeper of the wardrobe. She lived in Jerusalem~ in the Second District.,
Bas,044,Mary Magdalene,Rare,Faithful,,Luke 8:1-2,11,,Soon afterwards~ he went about through cities and villages~ preaching and bringing the good news of God’s Kingdom. With him were the twelve~ and certain women who had been healed of evil spirits and infirmities: Mary who was called Magdalene~ from whom seven demons had gone out;,
Bas,045,Centurion,Common,Faithful,,Luke 7:3,3,,When the centurion heard about Jesus~ he sent some Jewish elders to ask Him to come and heal his servant.,
